name,team,nationality,position,rating,image_url
Giorgi Mamardashvili,Liverpool FC,Georgia,Goalkeeper,83,https://r2.thesportsdb.com/images/media/player/cutout/3yoja81757088527.png
Alisson,Liverpool FC,Brazil,Goalkeeper,83,https://r2.thesportsdb.com/images/media/player/cutout/8amq961757087569.png
Freddie Woodman,Liverpool FC,England,Goalkeeper,83,https://r2.thesportsdb.com/images/media/player/cutout/yxvjpo1768228542.png
Ibrahima Konaté,Liverpool FC,France,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/izock91757088476.png
Giovanni Leoni,Liverpool FC,Italy,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/8aws9t1766829004.png
Virgil van Dijk,Liverpool FC,Netherlands,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/9cxf2q1757087742.png
Joe Gomez,Liverpool FC,England,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/nu8h0u1757088152.png
Rhys Williams,Liverpool FC,England,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/yikiwq1560451565.png
Milos Kerkez,Liverpool FC,Hungary,Left-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/otux671757089023.png
Andrew Robertson,Liverpool FC,Scotland,Left-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/t0yil51757088652.png
Jeremie Frimpong,Liverpool FC,Netherlands,Right-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/ehf7fi1757088020.png
Conor Bradley,Liverpool FC,Northern Ireland,Right-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/yojnr41757087630.png
Calvin Ramsay,Liverpool FC,Scotland,Right-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/wp2ern1695308880.png
Ryan Gravenberch,Liverpool FC,Netherlands,Defensive Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/4f7y1o1757088226.png
Wataru Endo,Liverpool FC,Japan,Defensive Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/eawsfp1757087920.png
Stefan Bajcetic,Liverpool FC,Spain,Defensive Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/yf8zmo1735799860.png
Alexis Mac Allister,Liverpool FC,Argentina,Central Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/96dmuf1757087513.png
Curtis Jones,Liverpool FC,England,Central Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/ghs3g51757088342.png
Florian Wirtz,Liverpool FC,Germany,Attacking Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/8t6bzo1757088899.png
Dominik Szoboszlai,Liverpool FC,Hungary,Attacking Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/0n431m1757088795.png
Cody Gakpo,Liverpool FC,Netherlands,Left Winger,75,https://r2.thesportsdb.com/images/media/player/cutout/lwkl5n1757088091.png
Rio Ngumoha,Liverpool FC,England,Left Winger,75,https://www.thesportsdb.com/images/media/player/cutout/ay5j761773955893.png
Mohamed Salah,Liverpool FC,Egypt,Right Winger,75,https://r2.thesportsdb.com/images/media/player/cutout/3blc581757088735.png
Federico Chiesa,Liverpool FC,Italy,Right Winger,75,https://r2.thesportsdb.com/images/media/player/cutout/idecla1757087689.png
Alexander Isak,Liverpool FC,Sweden,Centre-Forward,85,https://r2.thesportsdb.com/images/media/player/cutout/3qj7z41757088281.png
Hugo Ekitiké,Liverpool FC,France,Centre-Forward,85,https://r2.thesportsdb.com/images/media/player/cutout/8za47v1757087851.png
