name,team,nationality,position,rating,image_url
Gianluigi Donnarumma,Manchester City,Italy,Goalkeeper,83,https://r2.thesportsdb.com/images/media/player/cutout/jyx9bq1769182577.png
James Trafford,Manchester City,England,Goalkeeper,83,https://r2.thesportsdb.com/images/media/player/cutout/bzm62v1769183340.png
Marcus Bettinelli,Manchester City,England,Goalkeeper,83,https://r2.thesportsdb.com/images/media/player/cutout/btq0zz1769183655.png
Josko Gvardiol,Manchester City,Croatia,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/mmowa11769183247.png
Marc Guéhi,Manchester City,England,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/842bfy1771748128.png
Rúben Dias,Manchester City,Portugal,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/g3psnr1769183713.png
John Stones,Manchester City,England,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/dkq8d41763068509.png
Nathan Aké,Manchester City,Netherlands,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/dqu7y91769182942.png
Max Alleyne,Manchester City,England,Centre-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/4iimzs1769182989.png
Rayan Aït-Nouri,Manchester City,Algeria,Left-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/pxl8n91769182693.png
Matheus Nunes,Manchester City,Portugal,Right-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/qsv6us1757098631.png
Rico Lewis,Manchester City,England,Right-Back,80,https://r2.thesportsdb.com/images/media/player/cutout/lt67041769182828.png
Rodri,Manchester City,Spain,Defensive Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/0ml2zi1761148957.png
Nico González,Manchester City,Spain,Defensive Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/e6mhnz1762288376.png
Tijjani Reijnders,Manchester City,Netherlands,Central Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/edgl5b1769182353.png
Sverre Nypan,Manchester City,Norway,Central Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/8l71ol1772035932.png
Mateo Kovacic,Manchester City,Croatia,Central Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/m5jml31769183827.png
Phil Foden,Manchester City,England,Attacking Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/lbn4sx1769182620.png
Rayan Cherki,Manchester City,France,Attacking Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/emcyjy1769182115.png
Bernardo Silva,Manchester City,Portugal,Attacking Midfield,82,https://r2.thesportsdb.com/images/media/player/cutout/13ajsp1769182879.png
Jérémy Doku,Manchester City,Belgium,Left Winger,75,https://r2.thesportsdb.com/images/media/player/cutout/tehbsx1769183074.png
Savinho,Manchester City,Brazil,Left Winger,75,https://r2.thesportsdb.com/images/media/player/cutout/khqgy21769183420.png
Antoine Semenyo,Manchester City,Ghana,Right Winger,75,https://r2.thesportsdb.com/images/media/player/cutout/9y2ge41768393433.png
Erling Haaland,Manchester City,Norway,Centre-Forward,85,https://r2.thesportsdb.com/images/media/player/cutout/un3jr11769182465.png
Omar Marmoush,Manchester City,Egypt,Centre-Forward,85,https://r2.thesportsdb.com/images/media/player/cutout/kgn5451757098568.png
